    7   24   30    1    7     /NITROGEN           /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 18/07/15
 -14.88282 -14.93434 -14.97470 -15.01707 -15.07527 -15.12092 -15.17066 -15.24054
 -15.29360 -15.34710 -15.41910 -15.47399 -15.52747 -15.59542 -15.64546 -15.69511
 -14.88442 -14.91161 -14.94116 -14.98211 -15.01262 -15.04181 -15.08004 -15.11133
 -15.14682 -15.19830 -15.23864 -15.28100 -15.33922 -15.38487 -15.43462 -15.50450
 -15.55756 -15.61107 -15.68307 -15.73798 -15.79147 -15.85942 -15.90945 -15.95908
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 3   / DATE= 18/07/15
 -10.34292 -10.34102 -10.33842 -10.33362 -10.32919 -10.32440 -10.31749 -10.31024
 -10.30046 -10.28371 -10.26790 -10.24780 -10.21287 -10.18501 -10.14073 -10.02958
  -9.95475  -9.88236  -9.70935  -9.52937  -9.31275  -8.95409  -8.62949  -8.26894
 -10.43118 -10.42928 -10.42669 -10.42188 -10.41745 -10.41266 -10.40575 -10.39849
 -10.38870 -10.37194 -10.35615 -10.33604 -10.30110 -10.27361 -10.22975 -10.11789
 -10.04288  -9.97056  -9.79763  -9.61770  -9.40122  -9.04305  -8.71913  -8.36033
 -10.53042 -10.52788 -10.52470 -10.51930 -10.51440 -10.50893 -10.50086 -10.49337
 -10.48141 -10.45814 -10.45588 -10.45942 -10.43300 -10.40354 -10.36804 -10.29301
